check_catalog_param_id|check_catalog_id|check_param_id|check_param_usage_cd
1618|182|582|REQ
1619|298|584|REQ
1620|298|442|REQ
1622|166|303|REQ
1623|167|436|REQ
1628|205|446|REQ
1633|253|659|REQ
1634|253|660|REQ
1635|253|661|REQ
1636|253|662|REQ
1641|245|659|REQ
1644|245|661|REQ
1647|249|659|REQ
1648|249|661|REQ
1649|242|431|REQ
1651|243|432|REQ
1652|268|659|REQ
1653|268|660|REQ
1654|268|661|REQ
1655|268|662|REQ
1658|247|659|REQ
1659|247|661|REQ
1664|269|659|REQ
1665|269|660|REQ
1666|269|661|REQ
1667|269|662|REQ
1676|89|298|REQ
1679|116|294|REQ
1680|38|504|REQ
1681|137|504|REQ
1682|52|294|REQ
1683|44|294|REQ
1684|39|294|REQ
1688|26|294|REQ
1690|41|294|REQ
1691|60|294|REQ
1692|34|294|REQ
1693|14|294|REQ
1694|37|294|REQ
1696|53|294|REQ
1700|300|364|REQ
1701|300|738|OUT
1702|301|364|REQ
1703|301|739|OUT
1704|302|364|REQ
1705|302|740|OUT
1706|303|364|REQ
1707|303|741|OUT
1708|304|364|REQ
1709|304|738|REQ
1710|304|739|REQ
1711|304|740|REQ
1712|304|741|REQ
1713|304|742|OUT
1714|305|364|REQ
1717|305|743|OUT
1718|305|742|REQ
1719|305|744|OUT
1720|305|745|OUT
1721|305|746|OUT
1722|305|747|OUT
1723|306|364|REQ
1725|307|364|REQ
1727|135|503|REQ
1728|308|364|REQ
1731|309|364|REQ
1732|46|392|REQ
1734|310|364|REQ
1736|311|364|REQ
1737|311|753|OUT
1738|112|420|REQ
1739|102|392|REQ
1740|108|392|REQ
1741|167|552|REQ
1742|167|582|OUT
1743|186|582|REQ
1744|239|658|REQ
1745|244|658|REQ
1746|242|658|REQ
1747|243|658|REQ
1749|241|658|REQ
1751|251|658|REQ
1752|251|666|REQ
1756|253|658|REQ
1757|270|667|REQ
1765|315|364|REQ
1766|315|365|REQ
1770|317|364|REQ
1771|317|3303|REQ
1772|317|1884|REQ
1774|1|384|REQ
1776|318|333|REQ
1777|318|763|OUT
1780|203|607|REQ
1782|206|435|REQ
1785|206|607|REQ
1786|206|765|REQ
1787|319|333|REQ
1788|201|607|REQ
1790|202|607|REQ
1791|320|333|REQ
1792|320|769|OUT
1793|321|333|REQ
1794|321|770|OUT
1797|235|597|REQ
1798|235|599|REQ
1799|235|600|REQ
1800|235|598|REQ
1805|236|597|REQ
1806|236|599|REQ
1807|236|600|REQ
1808|236|598|REQ
1809|322|333|REQ
1810|322|769|REQ
1811|322|770|REQ
1812|322|771|OUT
1813|323|333|REQ
1814|323|336|OUT
1815|324|333|REQ
1820|326|333|REQ
1822|327|333|REQ
1823|327|776|OUT
1826|189|607|REQ
1851|189|510|REQ
1852|187|319|REQ
1853|187|510|REQ
1854|187|597|REQ
1855|187|600|REQ
1860|188|597|REQ
1861|188|600|REQ
1862|188|508|REQ
1873|224|607|REQ
1884|329|779|REQ
1885|329|780|OUT
1886|330|779|REQ
1887|330|782|OUT
1890|332|779|REQ
1892|333|779|REQ
1893|333|785|OUT
1894|334|779|REQ
1895|334|786|OUT
1900|336|779|REQ
1905|336|781|OUT
1907|213|605|REQ
1908|27|788|OUT
1909|27|789|OUT
1911|337|779|REQ
1912|337|785|REQ
1914|337|786|REQ
1915|337|791|OUT
1920|336|794|OUT
1921|336|795|OUT
1922|339|779|REQ
1925|341|779|REQ
1926|341|673|REQ
1928|342|779|REQ
1929|342|319|REQ
1936|282|258|REQ
1937|282|426|REQ
1938|282|765|REQ
1940|283|708|REQ
1945|280|802|REQ
1947|284|702|REQ
1948|284|803|REQ
1949|284|701|REQ
1950|290|701|REQ
1954|317|746|REQ
1955|317|747|REQ
1956|317|744|REQ
1957|317|745|REQ
1958|315|746|REQ
1959|315|747|REQ
1960|315|744|REQ
1961|315|745|REQ
1962|311|765|REQ
1963|317|753|REQ
1964|290|716|REQ
1965|290|717|REQ
1966|290|713|REQ
1967|290|714|REQ
1968|27|771|REQ
1969|326|1022|REQ
1970|326|788|REQ
1971|326|789|REQ
1974|324|788|REQ
1975|324|789|REQ
1976|324|510|REQ
1977|344|333|REQ
